시도,시군구,법정동,고등학교수,중학교수,초등학교수,총학교수
강원도,강릉시,강동면,0,0,3,3
강원도,강릉시,교동,3,3,4,10
강원도,강릉시,구정면,1,0,2,3
강원도,강릉시,내곡동,0,0,1,1
강원도,강릉시,노암동,0,1,1,2
강원도,강릉시,사천면,0,1,2,3
강원도,강릉시,성산면,0,0,2,2
강원도,강릉시,송정동,0,0,1,1
강원도,강릉시,안현동,0,0,1,1
강원도,강릉시,연곡면,0,0,2,2
강원도,강릉시,옥계면,0,1,2,3
강원도,강릉시,옥천동,1,0,1,2
강원도,강릉시,왕산면,0,1,1,2
강원도,강릉시,용강동,0,1,0,1
강원도,강릉시,운산동,0,0,1,1
강원도,강릉시,유천동,0,0,1,1
강원도,강릉시,입암동,1,1,2,4
강원도,강릉시,장현동,0,0,1,1
강원도,강릉시,주문진읍,2,1,3,6
강원도,강릉시,지변동,1,0,0,1
강원도,강릉시,초당동,1,0,1,2
강원도,강릉시,포남동,1,2,3,6
강원도,강릉시,홍제동,0,0,1,1
강원도,강릉시,회산동,0,0,1,1
강원도,고성군,간성읍,1,1,2,4
강원도,고성군,거진읍,1,1,2,4
강원도,고성군,죽왕면,0,0,3,3
강원도,고성군,토성면,1,1,5,7
강원도,고성군,현내면,1,1,1,3
강원도,동해시,단봉동,0,1,0,1
강원도,동해시,동회동,2,1,0,3
강원도,동해시,망상동,0,0,1,1
강원도,동해시,묵호진동,0,0,1,1
강원도,동해시,발한동,1,3,2,6
강원도,동해시,부곡동,1,0,0,1
강원도,동해시,북평동,0,0,1,1
강원도,동해시,삼화동,0,0,1,1
강원도,동해시,송정동,0,0,1,1
강원도,동해시,쇄운동,0,0,1,1
강원도,동해시,용정동,0,1,1,2
강원도,동해시,지흥동,0,0,1,1
강원도,동해시,천곡동,2,1,3,6
강원도,동해시,평릉동,0,0,1,1
강원도,삼척시,가곡면,1,1,1,3
강원도,삼척시,갈천동,0,0,1,1
강원도,삼척시,교동,0,0,1,1
강원도,삼척시,근덕면,1,1,3,5
강원도,삼척시,남양동,2,1,1,4
강원도,삼척시,당저동,1,1,0,2
강원도,삼척시,도계읍,2,1,3,6
강원도,삼척시,미로면,0,1,1,2
강원도,삼척시,신기면,0,0,1,1
강원도,삼척시,오분동,0,0,1,1
강원도,삼척시,원당동,0,0,1,1
강원도,삼척시,원덕읍,1,2,2,5
강원도,삼척시,자원동,0,1,0,1
강원도,삼척시,정상동,0,0,1,1
강원도,삼척시,하장면,0,1,1,2
강원도,속초시,교동,1,2,1,4
강원도,속초시,금호동,0,1,0,1
강원도,속초시,노학동,0,1,2,3
강원도,속초시,대포동,0,0,1,1
강원도,속초시,설악동,0,0,1,1
강원도,속초시,영랑동,0,0,1,1
강원도,속초시,장사동,1,0,0,1
강원도,속초시,조양동,1,0,3,4
강원도,속초시,중앙동,0,0,1,1
강원도,속초시,청학동,0,0,1,1
강원도,속초시,청호동,0,0,1,1
강원도,양구군,국토정중앙면,0,1,3,4
강원도,양구군,동면,0,1,2,3
강원도,양구군,방산면,0,1,1,2
강원도,양구군,양구읍,3,2,3,8
강원도,양구군,해안면,0,1,1,2
강원도,양양군,강현면,0,1,2,3
강원도,양양군,서면,0,0,4,4
강원도,양양군,손양면,0,0,2,2
강원도,양양군,양양읍,1,1,2,4
강원도,양양군,현남면,0,1,2,3
강원도,양양군,현북면,0,1,3,4
강원도,영월군,김삿갓면,0,1,1,2
강원도,영월군,남면,0,1,1,2
강원도,영월군,무릉도원면,0,0,1,1
강원도,영월군,북면,1,1,1,3
강원도,영월군,산솔면,0,1,1,2
강원도,영월군,상동읍,1,1,1,3
강원도,영월군,영월읍,3,3,4,10
강원도,영월군,주천면,1,1,1,3
강원도,영월군,한반도면,0,1,2,3
강원도,원주시,개운동,2,1,1,4
강원도,원주시,관설동,1,0,2,3
강원도,원주시,귀래면,0,1,1,2
강원도,원주시,단계동,1,2,3,6
강원도,원주시,단구동,0,3,3,6
강원도,원주시,명륜동,0,1,3,4
강원도,원주시,무실동,2,2,4,8
강원도,원주시,문막읍,2,1,4,7
강원도,원주시,반곡동,2,2,3,7
강원도,원주시,봉산동,0,0,1,1
강원도,원주시,부론면,1,1,1,3
강원도,원주시,소초면,0,0,4,4
강원도,원주시,신림면,0,2,2,4
강원도,원주시,우산동,1,1,1,3
강원도,원주시,일산동,0,1,1,2
강원도,원주시,지정면,1,2,4,7
강원도,원주시,태장동,1,2,4,7
강원도,원주시,판부면,0,0,2,2
강원도,원주시,학성동,0,0,1,1
강원도,원주시,행구동,1,0,0,1
강원도,원주시,호저면,0,1,4,5
강원도,원주시,흥업면,1,1,2,4
강원도,인제군,기린면,1,1,2,4
강원도,인제군,남면,1,1,2,4
강원도,인제군,북면,1,1,4,6
강원도,인제군,상남면,0,1,2,3
강원도,인제군,서화면,0,1,1,2
강원도,인제군,인제읍,1,1,3,5
강원도,정선군,고한읍,1,1,2,4
강원도,정선군,남면,0,1,2,3
강원도,정선군,북평면,0,1,2,3
강원도,정선군,사북읍,1,1,1,3
강원도,정선군,신동읍,1,1,3,5
강원도,정선군,여량면,1,1,1,3
강원도,정선군,임계면,1,1,1,3
강원도,정선군,정선읍,2,1,4,7
강원도,정선군,화암면,0,1,2,3
강원도,철원군,갈말읍,1,1,4,6
강원도,철원군,근남면,0,0,1,1
강원도,철원군,김화읍,0,0,3,3
강원도,철원군,동송읍,1,1,4,6
강원도,철원군,서면,2,2,2,6
강원도,철원군,철원읍,1,1,2,4
강원도,춘천시,교동,1,1,1,3
강원도,춘천시,근화동,0,0,1,1
강원도,춘천시,낙원동,2,0,1,3
강원도,춘천시,남면,0,1,0,1
강원도,춘천시,남산면,0,2,3,5
강원도,춘천시,동내면,0,0,1,1
강원도,춘천시,동면,2,1,4,7
강원도,춘천시,동산면,1,1,1,3
강원도,춘천시,북산면,0,0,1,1
강원도,춘천시,사농동,1,1,0,2
강원도,춘천시,사북면,0,1,3,4
