시도,시군구,초등학교수,중학교수,고등학교수,총학교수
강원도,강릉시,37,12,11,60
강원도,고성군,13,4,4,21
강원도,동해시,14,7,6,27
강원도,삼척시,18,10,8,36
강원도,속초시,12,4,3,19
강원도,양구군,10,6,3,19
강원도,양양군,15,4,1,20
강원도,영월군,13,10,6,29
강원도,원주시,51,24,16,91
강원도,인제군,14,6,4,24
강원도,정선군,18,9,7,34
강원도,철원군,16,5,5,26
강원도,춘천시,43,20,14,77
강원도,태백시,12,6,5,23
강원도,평창군,18,8,5,31
강원도,홍천군,25,11,7,43
강원도,화천군,11,4,4,19
강원도,횡성군,17,10,7,34
경기도,가평군,16,6,5,27
경기도,고양시 덕양구,42,21,15,78
경기도,고양시 일산동구,25,10,11,46
경기도,고양시 일산서구,24,13,12,49
경기도,과천시,6,3,4,13
경기도,광명시,25,12,11,48
경기도,광주시,35,12,8,55
경기도,구리시,16,8,7,31
경기도,군포시,27,12,8,47
경기도,김포시,48,25,15,88
경기도,남양주시,69,37,21,127
경기도,동두천시,11,6,6,23
경기도,부천시,64,33,28,125
경기도,성남시 분당구,38,25,24,87
경기도,성남시 수정구,18,10,5,33
경기도,성남시 중원구,16,10,7,33
경기도,수원시 권선구,34,14,9,57
경기도,수원시 영통구,30,21,13,64
경기도,수원시 장안구,22,13,12,47
경기도,수원시 팔달구,16,9,11,36
경기도,시흥시,50,26,17,93
경기도,안산시 단원구,28,15,12,55
경기도,안산시 상록구,26,15,12,53
경기도,안성시,34,13,9,56
경기도,안양시 동안구,26,15,9,50
경기도,안양시 만안구,15,9,12,36
경기도,양주시,40,12,8,60
경기도,양평군,23,12,8,43
경기도,여주시,25,13,9,47
경기도,연천군,13,6,2,21
경기도,오산시,26,9,8,43
경기도,용인시 기흥구,41,19,12,72
경기도,용인시 수지구,32,16,10,58
경기도,용인시 처인구,34,18,10,62
경기도,의왕시,14,7,5,26
경기도,의정부시,34,20,16,70
경기도,이천시,31,15,12,58
경기도,파주시,62,29,19,110
경기도,평택시,71,29,21,121
경기도,포천시,28,14,7,49
경기도,하남시,23,14,10,47
경기도,화성시,106,45,31,182
경상남도,거제시,41,19,10,70
경상남도,거창군,17,9,7,33
경상남도,고성군,19,8,4,31
경상남도,김해시,60,32,23,115
경상남도,남해군,13,9,6,28
경상남도,밀양시,21,11,8,40
경상남도,사천시,18,11,9,38
경상남도,산청군,13,4,7,24
경상남도,양산시,44,19,12,75
경상남도,의령군,14,5,3,22
경상남도,진주시,46,22,22,90
경상남도,창녕군,18,10,8,36
경상남도,창원시 마산합포구,23,11,10,44
경상남도,창원시 마산회원구,19,13,7,39
경상남도,창원시 성산구,20,15,10,45
경상남도,창원시 의창구,32,15,15,62
경상남도,창원시 진해구,20,12,6,38
경상남도,통영시,22,12,5,39
경상남도,하동군,17,9,5,31
경상남도,함안군,17,8,5,30
경상남도,함양군,13,6,4,23
경상남도,합천군,18,9,6,33
경상북도,경산시,31,15,12,58
경상북도,경주시,43,20,19,82
경상북도,고령군,9,6,2,17
경상북도,구미시,52,28,21,101
경상북도,김천시,29,15,10,54
경상북도,문경시,19,9,6,34
경상북도,봉화군,15,7,3,25
경상북도,상주시,31,17,10,58
경상북도,성주군,13,8,3,24
경상북도,안동시,33,13,13,59
경상북도,영덕군,10,8,4,22
경상북도,영양군,7,4,3,14
경상북도,영주시,19,11,9,39
경상북도,영천시,20,12,9,41
경상북도,예천군,12,9,3,24
경상북도,울릉군,4,1,1,6
경상북도,울진군,14,8,5,27
경상북도,의성군,17,10,6,33
경상북도,청도군,11,6,5,22
경상북도,청송군,8,9,5,22
경상북도,칠곡군,21,11,7,39
경상북도,포항시 남구,30,14,9,53
경상북도,포항시 북구,40,21,18,79
광주광역시,광산구,44,26,17,87
광주광역시,남구,23,16,17,56
광주광역시,동구,11,6,5,22
광주광역시,북구,47,28,21,96
광주광역시,서구,30,15,8,53
김해시,주촌면,0,1,0,1
대구광역시,군위군,7,5,1,13
대구광역시,남구,11,6,7,24
대구광역시,달서구,56,28,23,107
대구광역시,달성군,33,18,10,61
대구광역시,동구,33,13,11,57
대구광역시,북구,39,22,17,78
대구광역시,서구,17,8,6,31
대구광역시,수성구,34,23,17,74
대구광역시,중구,10,5,4,19
대전광역시,대덕구,21,12,5,38
대전광역시,동구,23,12,9,44
대전광역시,서구,41,29,17,87
대전광역시,유성구,42,23,17,82
대전광역시,중구,27,14,14,55
부산광역시,강서구,20,11,6,37
부산광역시,금정구,20,12,14,46
부산광역시,기장군,22,8,5,35
부산광역시,남구,20,13,15,48
부산광역시,동구,6,5,5,16
부산광역시,동래구,24,14,13,51
부산광역시,부산진구,30,19,18,67
부산광역시,북구,27,15,10,52
부산광역시,사상구,21,10,5,36
부산광역시,사하구,26,16,14,56
부산광역시,서구,11,7,5,23
부산광역시,수영구,10,6,4,20
부산광역시,연제구,16,8,4,28
부산광역시,영도구,14,8,7,29
부산광역시,중구,4,1,4,9
부산광역시,해운대구,32,18,14,64
서울특별시,강남구,34,24,22,80
서울특별시,강동구,29,19,14,62
서울특별시,강북구,14,13,7,34
서울특별시,강서구,34,22,23,79
서울특별시,관악구,22,16,17,55
서울특별시,광진구,21,12,9,42
서울특별시,구로구,26,14,14,54
서울특별시,금천구,18,9,6,33
서울특별시,노원구,42,26,25,93
서울특별시,도봉구,23,13,9,45
서울특별시,동대문구,21,15,11,47
서울특별시,동작구,21,16,7,44
서울특별시,마포구,22,14,10,46
서울특별시,서대문구,19,14,7,40
서울특별시,서초구,23,15,11,49
서울특별시,성동구,21,11,7,39
서울특별시,성북구,29,18,13,60
서울특별시,송파구,41,29,20,90
서울특별시,양천구,30,18,15,63
서울특별시,영등포구,23,12,9,44
서울특별시,용산구,14,9,10,33
서울특별시,은평구,30,18,18,66
서울특별시,종로구,13,9,14,36
서울특별시,중구,12,7,10,29
서울특별시,중랑구,23,14,10,47
세종특별자치시,고운동,5,2,2,9
세종특별자치시,금남면,4,1,1,6
세종특별자치시,나성동,1,1,0,2
세종특별자치시,다정동,3,2,1,6
세종특별자치시,대평동,1,1,0,2
세종특별자치시,도담동,3,2,2,7
세종특별자치시,반곡동,2,1,1,4
세종특별자치시,보람동,2,1,1,4
세종특별자치시,부강면,1,1,1,3
세종특별자치시,산울동,1,1,1,3
세종특별자치시,새롬동,3,2,1,6
세종특별자치시,소담동,2,2,1,5
세종특별자치시,소정면,1,0,0,1
세종특별자치시,아름동,2,1,3,6
세종특별자치시,어진동,2,1,1,4
세종특별자치시,연기면,3,0,1,4
세종특별자치시,연동면,1,1,0,2
세종특별자치시,연서면,4,1,0,5
세종특별자치시,장군면,2,1,0,3
세종특별자치시,전동면,1,0,0,1
세종특별자치시,전의면,1,1,0,2
세종특별자치시,조치원읍,4,2,2,8
세종특별자치시,종촌동,2,1,1,4
세종특별자치시,한솔동,3,1,1,5
세종특별자치시,해밀동,1,1,1,3
울산광역시,남구,31,16,15,62
울산광역시,동구,16,9,9,34
울산광역시,북구,22,14,12,48
울산광역시,울주군,32,14,12,58
울산광역시,중구,21,11,9,41
인천광역시,강화군,20,9,8,37
인천광역시,계양구,27,15,11,53
인천광역시,남동구,39,22,16,77
인천광역시,동구,8,3,4,15
인천광역시,미추홀구,23,12,14,49
인천광역시,부평구,42,21,19,82
인천광역시,서구,52,27,20,99
인천광역시,연수구,34,20,16,70
인천광역시,옹진군,10,5,5,20
인천광역시,중구,16,11,15,42
전라남도,강진군,13,9,4,26
전라남도,고흥군,19,15,4,38
전라남도,곡성군,8,3,4,15
전라남도,광양시,29,15,9,53
전라남도,구례군,10,5,2,17
전라남도,나주시,24,17,12,53
전라남도,담양군,14,7,4,25
전라남도,목포시,33,16,15,64
전라남도,무안군,20,11,5,36
전라남도,보성군,16,11,6,33
전라남도,순천시,42,22,15,79
전라남도,신안군,21,13,6,40
전라남도,여수시,53,25,15,93
전라남도,영광군,14,10,6,30
전라남도,영암군,16,11,6,33
전라남도,완도군,23,14,6,43
전라남도,장성군,13,7,4,24
전라남도,장흥군,14,9,4,27
전라남도,진도군,14,7,4,25
전라남도,함평군,11,7,4,22
전라남도,해남군,21,11,4,36
전라남도,화순군,17,10,4,31
전라북도,고창군,20,14,6,40
전라북도,군산시,50,19,12,81
전라북도,김제시,33,13,10,56
전라북도,남원시,27,13,9,49
전라북도,무주군,10,6,5,21
전라북도,부안군,19,12,7,38
전라북도,순창군,15,7,3,25
전라북도,완주군,30,13,8,51
전라북도,익산시,60,26,18,104
전라북도,임실군,14,8,3,25
전라북도,장수군,9,7,6,22
전라북도,전주시 덕진구,36,21,11,68
전라북도,전주시 완산구,39,21,18,78
전라북도,정읍시,34,19,13,66
전라북도,진안군,13,10,5,28
제주특별자치도,서귀포시,46,17,14,77
제주특별자치도,제주시,73,30,20,123
충청남도,계룡시,6,3,2,11
충청남도,공주시,28,14,10,52
충청남도,금산군,17,8,4,29
충청남도,논산시,31,14,13,58
충청남도,당진시,34,15,8,57
