시도,시군구_통합,2014년 11월,2014년 12월,2015년 1월,2015년 2월,2015년 3월,2015년 4월,2015년 5월,2015년 6월,2015년 7월,2015년 8월,2015년 9월,2015년 10월,2015년 11월,2015년 12월,2016년 1월,2016년 2월,2016년 3월,2016년 4월,2016년 5월,2016년 6월,2016년 7월,2016년 8월,2016년 9월,2016년 10월,2016년 11월,2016년 12월,2017년 1월,2017년 2월,2017년 3월,2017년 4월,2017년 5월,2017년 6월,2017년 7월,2017년 8월,2017년 9월,2017년 10월,2017년 11월,2017년 12월,2018년 1월,2018년 2월,2018년 3월,2018년 4월,2018년 5월,2018년 6월,2018년 7월,2018년 8월,2018년 9월,2018년 10월,2018년 11월,2018년 12월,2019년 1월,2019년 2월,2019년 3월,2019년 4월,2019년 5월,2019년 6월,2019년 7월,2019년 8월,2019년 9월,2019년 10월,2019년 11월,2019년 12월,2020년 1월,2020년 2월,2020년 3월,2020년 4월,2020년 5월,2020년 6월,2020년 7월,2020년 8월,2020년 9월,2020년 10월,2020년 11월,2020년 12월,2021년 1월,2021년 2월,2021년 3월,2021년 4월,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월,2023년 1월,2023년 2월,2023년 3월,2023년 4월,2023년 5월,2023년 6월,2023년 7월,2023년 8월,2023년 9월,2023년 10월,2023년 11월,2023년 12월,2024년 1월,2024년 2월,2024년 3월,2024년 4월,2024년 5월,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월,2025년 4월,2025년 5월,2025년 6월,2025년 7월,2025년 8월,2025년 9월
강원도,춘천시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.623,99.655,99.662,99.615,99.62,99.551,99.647,99.662,99.77,99.841,99.848,99.885,99.911,99.96,100.0,100.031,100.077,100.11,100.157,100.196,100.232,100.293,100.471,100.625,100.795,100.904,100.98,101.047,101.241,101.316,101.343,101.45,101.554,101.676,101.732,101.806
경기도,가평군,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.846,99.835,99.866,99.862,99.869,99.875,99.889,99.676,99.653,99.66,99.742,99.778,99.832,99.907,100.0,100.053,100.1,100.163,100.393,100.525,100.605,100.739,100.799,100.864,100.961,101.027,101.181,101.252,101.264,101.41,101.49,101.506,101.553,101.661,101.793,101.81
경기도,고양덕양구,78.819,79.058,79.058,79.292,79.365,79.679,79.679,79.926,80.265,80.265,80.265,80.852,81.226,81.226,81.226,81.226,81.628,82.045,82.473,82.473,82.568,82.715,83.165,83.322,83.475,83.475,83.475,83.475,84.604,84.711,84.892,85.061,85.137,85.35,86.038,86.108,86.232,86.587,86.587,86.464,86.497,86.497,86.55,86.747,87.099,87.256,87.256,87.412,87.599,87.799,87.991,87.991,88.033,88.368,88.576,88.839,88.889,89.393,89.716,90.144,90.825,91.265,91.265,91.785,92.442,92.918,93.077,93.33,93.803,94.021,94.123,94.355,94.504,94.658,94.853,95.027,95.25,95.417,95.556,95.761,96.019,96.108,96.293,96.514,96.711,96.949,97.072,97.314,97.495,97.799,98.037,98.25,98.454,98.748,98.942,99.082,99.133,99.158,99.223,99.251,99.234,99.296,99.484,99.438,99.51,99.622,99.678,99.821,99.873,100.0,100.147,100.363,100.673,100.966,101.234,101.438,101.695,101.945,102.216,102.452,102.93,103.183,103.323,103.634,103.838,104.132,104.404,104.655,104.886,105.071,105.282
경기도,고양일산동구,71.854,71.855,71.854,71.98,72.253,72.239,72.275,72.377,72.411,72.517,72.593,72.67,72.798,72.833,72.925,72.965,73.011,73.135,73.254,73.348,73.423,73.596,73.671,73.754,73.976,74.001,74.066,74.135,74.432,75.031,75.56,75.602,76.132,76.419,76.473,76.564,77.045,77.268,77.553,77.711,78.625,78.994,79.699,80.114,80.534,81.074,81.313,82.195,82.576,83.088,83.391,83.658,84.004,84.525,84.741,85.148,85.678,86.086,86.246,86.633,86.763,87.243,87.735,88.016,88.409,88.617,88.804,89.136,89.84,90.068,90.524,90.861,91.488,91.797,92.16,92.583,93.02,93.416,93.785,94.246,94.71,95.084,95.404,95.926,96.357,96.863,97.153,97.345,97.737,98.063,98.408,98.695,99.073,99.492,99.791,99.882,99.844,99.775,99.722,99.657,99.667,99.618,99.589,99.685,99.684,99.695,99.693,99.757,99.93,100.0,100.111,100.209,100.311,100.451,100.563,100.748,100.919,101.046,101.211,101.275,101.367,101.459,101.525,101.617,101.732,101.807,101.882,101.941,102.042,102.136,102.223
경기도,고양일산서구,82.585,82.251,82.345,82.112,81.937,82.424,82.06,82.148,82.329,83.043,82.79,82.253,82.691,83.346,83.357,83.417,83.087,83.372,83.227,83.658,83.798,83.919,84.654,84.839,84.981,85.06,85.22,85.226,85.597,86.011,86.41,86.608,86.978,87.081,87.195,87.195,87.361,87.564,87.698,87.912,88.147,88.408,88.961,89.321,89.568,89.845,90.121,90.43,90.767,90.912,91.093,91.387,91.512,91.594,91.755,91.955,91.998,92.223,92.371,92.515,92.854,93.118,93.405,93.64,93.705,93.885,94.05,94.231,94.258,94.258,94.462,94.618,94.769,94.84,95.069,95.153,95.397,95.634,95.884,96.189,96.536,96.699,97.009,97.181,97.352,97.687,97.826,98.041,98.324,98.568,99.109,99.431,99.647,99.85,100.011,100.084,100.039,99.878,99.842,99.834,99.814,99.826,99.797,99.84,99.878,99.882,99.847,99.842,99.905,100.0,100.012,100.096,100.224,100.309,100.363,100.469,100.576,100.705,100.808,100.908,100.987,101.045,101.076,101.125,101.191,101.207,101.268,101.388,101.486,101.575,101.681
경기도,과천시,81.002,80.886,80.886,81.288,81.183,81.238,81.168,81.168,81.395,81.685,81.849,81.883,81.938,81.938,82.162,82.363,82.49,82.691,82.691,82.912,82.874,82.556,82.369,82.369,82.55,82.593,83.012,83.093,83.2,83.557,83.752,84.135,84.707,84.789,85.234,85.546,85.633,85.705,86.058,86.153,86.639,86.843,87.143,87.546,87.849,88.117,88.32,88.787,89.154,89.4,89.637,89.865,90.065,90.186,90.502,90.665,91.039,91.245,91.326,91.587,91.827,91.955,92.102,92.197,92.243,92.313,92.313,92.455,92.545,92.571,92.73,93.003,93.325,93.47,93.663,93.815,93.9,94.118,94.303,94.529,94.825,95.085,95.369,95.653,95.927,96.15,96.437,96.61,96.744,97.081,97.244,97.539,97.996,98.358,98.679,98.879,98.9,99.066,99.045,99.074,98.92,98.849,99.406,99.402,99.426,99.6,99.719,99.776,99.829,100.0,100.125,100.268,100.466,100.763,101.175,101.42,101.549,101.909,102.198,102.535,102.877,103.112,103.576,103.787,104.213,104.675,104.842,105.237,105.796,106.321,106.799
경기도,광명시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.397,98.557,98.709,98.792,98.913,98.984,99.061,99.118,99.182,99.182,99.273,99.414,99.848,99.923,100.0,100.278,100.392,100.662,100.97,101.224,101.533,101.635,101.935,102.158,102.296,102.757,103.036,103.365,103.688,104.096,104.374,104.708,105.099,105.39,105.723,106.058
경기도,광주시,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.373,99.495,99.438,99.362,99.399,99.34,99.384,99.419,99.516,99.551,99.58,99.652,99.765,99.947,100.0,100.116,100.248,100.436,100.567,100.712,101.014,101.287,101.474,101.683,101.784,102.062,102.183,102.27,102.448,102.748,102.899,103.153,103.433,103.592,103.729,103.925
경기도,구리시,70.721,70.857,70.844,70.848,70.948,71.079,71.173,71.249,71.328,71.402,71.567,71.728,71.842,71.956,71.98,72.135,72.279,72.423,72.657,72.774,72.911,73.007,73.205,73.309,73.482,73.639,73.501,73.443,73.743,74.186,74.333,74.463,74.593,74.726,74.877,75.13,75.564,76.019,76.164,76.505,76.851,77.068,77.249,77.539,77.832,78.489,79.046,79.445,79.778,80.284,80.537,80.756,81.005,81.74,82.03,82.287,82.628,82.886,83.47,83.933,84.646,85.266,85.908,86.423,86.924,87.375,87.756,88.337,89.043,89.612,89.972,90.47,90.975,91.237,91.52,91.857,92.043,92.442,92.908,93.694,94.433,94.948,95.461,95.909,96.281,96.7,97.153,97.546,97.878,98.213,98.654,99.036,99.424,99.738,99.913,100.074,99.906,99.782,99.726,99.757,99.755,99.741,99.715,99.716,99.743,99.757,99.765,99.787,99.81,100.0,100.096,100.245,100.341,100.521,100.645,100.841,101.007,101.537,101.696,102.084,102.293,102.492,102.733,103.059,103.21,103.484,103.767,103.984,104.201,104.288,104.42
경기도,군포시,77.499,77.605,77.602,77.744,77.595,77.764,77.991,78.166,78.399,78.501,78.446,78.439,78.562,78.574,78.563,78.742,78.939,79.19,79.369,79.573,79.672,79.718,79.915,80.055,80.18,80.35,80.523,80.665,80.919,81.254,81.51,81.745,81.91,82.116,82.485,82.731,82.993,83.229,83.393,83.544,83.872,84.123,84.307,84.554,84.87,85.06,85.303,85.53,85.735,85.951,86.137,86.34,86.529,86.803,87.088,87.363,87.538,87.836,88.105,88.342,88.589,88.819,89.088,89.287,89.517,89.886,90.116,90.385,90.697,90.968,91.173,91.44,91.649,91.935,92.117,92.414,92.71,92.97,93.306,93.591,93.977,94.361,94.8,95.211,95.523,95.798,96.192,96.47,96.793,97.181,97.435,97.807,98.081,98.39,98.576,98.802,98.949,99.058,99.098,99.116,99.152,99.16,99.22,99.263,99.316,99.591,99.682,99.776,99.927,100.0,100.133,100.348,100.451,100.602,100.762,100.93,101.078,101.268,101.427,101.586,101.764,101.97,102.173,102.332,102.541,102.737,102.94,103.139,103.322,103.542,103.789
